eBird.Hotspot.Name,LOCALITY_ID,Latitude,Longitude,State,Status,area_sqkm,County
Canyon Park Wetlands,L1122256,47.7944615,-122.2010458,US-WA,U,0.05214981221916899,Snohomish
JI Case Wetland,L994574,39.490065800000004,-87.3170185,US-IN,C,0.28717812223379685,Vigo
Armstrong Wetland Restoration,L8095893,44.1456457,-93.0661988,US-MN,C,3.4867197192516253,Steele
Curtin Wetland,L664183,40.9689465,-77.7511883,US-PA,U,0.1220349335976243,Centre
West State St. Park--Little Fish Wetland,L4488290,39.3329819,-82.1272445,US-OH,U,0.02180818622055836,Athens
Central Mountain HS Wetlands,L1456843,41.1132005,-77.506057,US-PA,C,0.044757237404027955,Clinton
Murfree Spring Wetlands at the Discovery Center,L10640076,35.839981,-86.389789,US-TN,C,0.0638572201064967,Rutherford
Weld CR 59 wetlands,L210257,40.3609628,-104.5068109,US-CO,C,0.7097498289867565,Weld
Patterson Place Constructed Wetland,L5079211,35.948085,-78.990487,US-NC,C,0.04619588809106871,Durham
Fairview Wetlands,L1215512,44.895153,-123.004434,US-OR,U,0.2043586328583304,Marion
EcOhio Farm and Wetland (restricted access),L3897351,39.4061633,-84.3022692,US-OH,U,0.2516162598055601,Warren
116th Ave and 8th St. wetland,L1765623,42.5359802,-85.6235128,US-MI,U,0.11013336037063505,Allegan
Sunrise Valley Park (Herndon Monroe Wetland Preserve),L1355334,38.9492778,-77.3879861,US-VA,U,0.053521294483460484,Fairfax
Sandhill Crane Wetlands,L4400936,41.630533,-83.8163817,US-OH,N,1.021305140622886,Lucas
Crook St. Wetlands,L2712976,41.2639529,-82.0722592,US-OH,N,0.19204273553252313,Lorain
Chatham Co. Wetlands Preserve,L2754456,31.9884761,-81.2908459,US-GA,C,0.34377847617511825,Chatham
"Ash Brook wetland, Keene",L442904,42.9293895,-72.30021,US-NH,C,0.0493886729349494,Cheshire
Fairbrook Wetlands,L897877,40.7281938,-77.9353863,US-PA,N,0.13685459032218902,Centre
Sue's Pond--Logan River Wetlands and Shorebird Playa,L586105,41.7320355,-111.8809032,US-UT,U,0.08631913901061565,Cache
Boone Greenway--Created Wetland,L3088296,36.2061686,-81.6520321,US-NC,C,0.007790151099858572,Watauga
Nazarene Church Road Wetlands,L2394893,38.4168631,-79.0693545,US-VA,N,0.029461563811689614,Rockingham
Wissahickon Valley Park--Saylor Grove Stormwater Wetland,L3985123,40.0296125,-75.1874065,US-PA,C,0.01311103767853044,Philadelphia
Cedar Mill Wetlands,L3104649,45.519647,-122.796581,US-OR,N,0.238545035915887,Washington
Roslindale Wetlands Urban Wild Park,L1171746,42.2939332,-71.1317861,US-MA,N,0.04259744732557038,Suffolk
White Marsh Wetlands--Franklin Square Dr.,L1485630,39.3662483,-76.4589914,US-MD,C,0.07728129588731378,Baltimore
Ocala Wetland Recharge Park,L9783145,29.209398,-82.1602022,US-FL,C,0.25394250253892875,Marion
San Juan Wetlands,L1850000,26.1606244,-98.157516,US-TX,C,0.04269685643571134,Hidalgo
Cutler Rd. and Dunn Rd. wetland,L3546007,42.3398231,-84.2580879,US-MI,U,0.1684825203663623,Jackson
"Cranberry Pond wetlands behind shopping center, W. Lebanon",L6207227,43.6225889,-72.3234755,US-NH,N,0.13314700428582077,Grafton
Auburn Middle School Wetland,L9798114,38.7378821,-77.7136851,US-VA,C,0.0504239774462413,Fauquier
Wetland on Weld CR 46,L4595389,40.3197145,-104.7085422,US-CO,C,0.05248201021887129,Weld
Kent State University--Stark Pond and Wetlands Research Area,L1883908,40.8665192,-81.4341545,US-OH,U,0.09786055622164626,Stark
Lily Lake Rd. and Hwy. 29 Wetland,L727583,44.4422523,-87.8503811,US-WI,N,0.10966272922822413,Brown
Augusta Springs Wetlands Trail,L548797,38.107699,-79.3121266,US-VA,N,0.07931169763158634,Augusta
Imperial Irrigation District Wetland Project--Niland,L866412,33.2118848,-115.5204034,US-CA,C,0.6024739140986055,Imperial
Kent State University--Kent Wetlands,L1176818,41.1422087,-81.3318139,US-OH,U,0.20506675750885064,Portage
Davis Wetlands,L442170,38.5836668,-121.6371918,US-CA,C,2.62439631806466,Yolo
EWEB wetlands,L1979702,44.0633762,-123.1703811,US-OR,C,0.11548752061604708,Lane
Mehraban Wetland Park,L788316,40.5355062,-111.8679186,US-UT,C,0.06204630169930356,Salt Lake
White Star Park--Doug Haubert Wetland,L7895629,41.377007,-83.3017496,US-OH,N,1.1994647078207694,Sandusky
Sedge Meadow Forest Preserve (Wadsworth Wetlands),L152734,42.4251,-87.9329,US-IL,N,4.190556613050468,Lake
John Bunker Sands Wetlands Ctr,L602507,32.6137185,-96.5008752,US-TX,C,3.2438497604294008,Kaufman
Roosevelt Wetland,L1009347,27.8708722,-82.6895428,US-FL,C,0.4700337603652086,Pinellas
Chippewa Nature Center--Wetlands,L165453,43.5937612,-84.2899901,US-MI,N,0.8540818043308761,Midland
Dolan Wetlands (view from road),L4340979,39.2457812,-86.5008116,US-IN,N,0.2837827311666105,Monroe
Limberlost Swamp Wetland Preserve (Adams Co.),L3774319,40.572794,-84.980752,US-IN,N,1.34220372134888,Adams
Clous and Schneider Rds. wetlands,L7048843,44.5995352,-85.6155968,US-MI,N,0.05807623171875812,Grand Traverse
Jewell Wetlands Park,L341631,39.6830208,-104.8348102,US-CO,C,0.2010960933715403,Arapahoe
Fairvew Park/Tollgate Wetlands,L2739896,42.7449786,-84.5213681,US-MI,U,0.059380100786671976,Ingham
Pistol Creek Wetland Center,L1024020,35.724324,-83.9832927,US-TN,N,0.06111581394247711,Blount
Oregon State Psychiatric Hospital Wetlands,L5491967,44.1701617,-123.2000506,US-OR,C,0.4197617050130349,Lane
Topeka KSU Farm Wetland,L3232487,39.0768551,-95.7715666,US-KS,C,0.19027134489630163,Shawnee
Mill Hall Wetlands,L1456845,41.124189,-77.498077,US-PA,N,0.08616664293350279,Clinton
Loblolly Marsh Wetland Preserve,L1267726,40.5548306,-85.0300598,US-IN,N,3.1396930819148197,Jay
MacArthur Park and Starleaf Street seasonal wetlands,L603509,32.9622578,-96.955046,US-TX,C,0.2512962285028668,Dallas
Clay Ave. Wetland (Tessie McNamara Park),L584308,40.8026677,-74.1024077,US-NJ,C,0.21711951856785408,Bergen
Jersey Village Jogging Trail Wetland,L6013884,29.8961472,-95.57594,US-TX,C,0.18502031201734206,Harris
Gulf Lab Rd. Wetland,L1060269,40.5405964,-79.835844,US-PA,C,0.09726309771606699,Allegheny
Coonpath Rd. Wetland (view from roadside only),L6223351,39.7724111,-82.6876545,US-OH,C,0.883781083721593,Fairfield
South Hill Rd. wetlands,L9068269,42.5005629,-83.5956826,US-MI,N,0.07600588286277885,Oakland
Bailey Homestead Wetlands Preserve,L6595361,26.4447115,-82.0491171,US-FL,U,0.010991191517245024,Lee
Trails End Park (Coburg Industrial Way Wetland),L10139371,44.1489433,-123.0580246,US-OR,U,0.10736951113721728,Lane
Boardman Wetlands (NCPRD),L13262305,45.393645,-122.612836,US-OR,C,0.04121801025168784,Clackamas
